,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
1594,SAS程序师,1.3万-2万,北京-朝阳区,1-3年,本科,"['英语', 'SAS']",北京康特瑞科统计科技有限责任公司,民营 ,100-299人 ,北京,北京
1595,临床数据管理员DM,1万-1.5万,北京-大兴区,1-3年,本科,"['DM', '临床数据分析']",爱恩康临床医学研究(北京)有限公司,外商独资 ,10000人以上 ,北京,北京
1596,数据分析师,8千-1.5万,北京-石景山区,不限,硕士,['数据分析'],北京赛宝工业技术研究院有限公司,国企 ,20-99人 ,北京,北京
1597,数据管理工程师,1万-2万,北京-海淀区,3-5年,本科,"['数据建模', '运营数据分析']",北京亿华通科技股份有限公司,民营 ,500-999人 ,北京,北京
1598,数据分析师,1万-2万,北京-海淀区,3-5年,本科,"['数据分析', '数据挖掘', 'BI', '需求分析']",智联猎头,上市公司 ,1000-9999人 ,北京,北京
1599,临床数据经理,1.5万-3万,北京-昌平区,3-5年,本科,['临床数据分析'],北京康辰药业股份有限公司,上市公司 ,500-999人 ,北京,北京
1600,数据分析工程师（北京）,2万-3.5万,北京-海淀区,5-10年,本科,"['SQL', 'Python', 'Java']",广州瀚信,股份制企业 ,1000-9999人 ,北京,北京
1601,大数据分析师,8千-1.5万,北京-西城区,1-3年,大专,"['MySQL', 'Python', 'SQL', 'ECharts']",北京巽震数码科技有限公司,民营 ,20-99人 ,北京,北京
1602,华泰证券-信息技术部-资深数据工程师,3万-6万,北京-西城区,3-5年,本科,"['SQL', 'Hadoop']",亨特爾獵頭(中國)公司,外商独资 ,100-299人 ,北京,北京
1603,Power-BI工程师,1.4万-1.6万,北京-朝阳区,1-3年,本科,"['Power BI', 'SQL', 'Cognos', 'PostgreSQL', 'MySQL', 'Elasticsearch', 'ECharts', 'Oracle BIEE']",上海兴岩信息科技有限公司,合资 ,100-299人 ,北京,北京
1604,临床数据管理员,8千-1万,北京-大兴区,无经验,硕士,['临床试验'],神州细胞工程有限公司,上市公司 ,1000-9999人 ,北京,北京
1605,产品收益分析,1.8万-2.5万,北京-朝阳区,5-10年,本科,"['行业分析', '产品运营', '跨境电商', '市场数据分析', '运营数据分析', '经营数据分析']",易客满,民营 ,100-299人 ,北京,北京
1606,数据平台软件开发岗,1.6万-1.8万,北京-东城区,不限,博士,['Python'],北京市科学技术研究院,事业单位 ,1000-9999人 ,北京,北京
1607,商品分析主管（职位编号：LZHR508）,1.2万-1.5万,北京-大兴区,3-5年,本科,"['市场营销', '数据统计分析', '行业分析']",朗致集团,民营 ,10000人以上 ,北京,北京
1608,咨询分析师,8千-1万,北京-朝阳区,无经验,本科,"['市场分析', '数据统计分析', 'powerpoint/ppt']",上海觅途管理咨询有限公司,民营 ,20-99人 ,北京,北京
1609,数据分析总监,2.2万-3.5万,北京-朝阳区,不限,学历不限,"['Java', 'Python', '手游', '游戏']",上海中清龙图网络科技有限公司北京分公司,民营 ,1000-9999人 ,北京,北京
1610,理赔数据分析,2万-4万,北京-朝阳区,3-5年,本科,"['理赔', '寿险']",和谐健康保险股份有限公司,民营 ,1000-9999人 ,北京,北京
1611,BI报表开发工程师,1.2万-2万,北京-通州区,不限,本科,"['数据治理', '数据挖掘', '数据采集', '报表开发', '数据清洗', '数据仓库', '数据可视化']",TATA木门,民营 ,1000-9999人 ,北京,北京
1612,阿里银行数据分析师 /管理岗,1.5万-3万,北京-朝阳区,不限,本科,"['阿里银行数据分析师', '京东数坊', '抖音巨量云图', '快手磁力方舟', '生意参谋', 'Power-BI']",山东世纪舜风广告传媒有限公司,民营 ,300-499人 ,北京,北京
1613,数据分析师3（朝九晚五、双休）,1万-2万,北京,不限,大专,['电子商务'],北京颐和润雨投资管理有限公司,股份制企业 ,20-99人 ,北京,北京
1614,大数据技术,1.5万-2万,北京-通州区,3-5年,本科,"['数据采集', '数据挖掘']",北京联东投资（集团）有限公司,民营 ,1000-9999人 ,北京,北京
1615,项目专员（数据分析+撰写报告）,9千-1.2万,北京-海淀区,1-3年,硕士,"['SPSS', 'arcgis', '自然地理', 'R']",成都奋途商贸有限公司,民营 ,100-299人 ,北京,北京
1616,数据统计分析,5千-7千,北京-朝阳区,1-3年,本科,['Excel'],东华软件,上市公司 ,1000-9999人 ,北京,北京
1617,帆软FineReport报表开发工程师,1.2万-1.8万,北京-丰台区,1-3年,本科,"['Oracle', 'MySQL', 'SQL Server', 'FineBI']",中科航天(北京)科技有限公司,股份制企业 ,100-299人 ,北京,北京
1618,电商数据分析师,1.8万-3.5万,北京-大兴区,3-5年,本科,"['IT/互联网', '电商', '数坊', '商智', '京准通']",北京运营宝科技有限公司,民营 ,300-499人 ,北京,北京
1619,数据建模工程师,1.2万-2万,北京-西城区,1-3年,本科,"['Python', '决策树', '数据建模', '算法模型', '数据分析', '聚类分析']",成都奋途商贸有限公司,民营 ,100-299人 ,北京,北京
1620,电力市场数据分析师,1.5万-2万,北京-海淀区,1-3年,本科,"['数据分析', 'Python', '行业分析', 'R语言', '商业数据分析']",北京兰木达技术有限公司,股份制企业 ,20-99人 ,北京,北京
1621,数据分析师（管培）,8千-1.2万,北京-海淀区,不限,本科,"['Tableau', 'SPSS', 'Hive', 'Hadoop', 'Python', 'SQL', 'Stata', 'R']",千喜鹤,民营 ,10000人以上 ,北京,北京
1622,销售数据分析师,8千-1万,北京-朝阳区,1-3年,本科,"['Python', 'SQL', '制造业', '农/林/牧/渔', '制药/医疗', '能源/环保']",北京吉天仪器有限公司,上市公司 ,300-499人 ,北京,北京
1623,DM,1万-2万,北京,1-3年,本科,['临床数据分析'],华夏英泰(北京)生物技术有限公司,合资 ,20-99人 ,北京,北京
1624,数据分析专员,1万-1.2万,北京-海淀区,1-3年,本科,"['Python', 'SQL']",科锐尔人力资源服务(苏州)有限公司,上市公司 ,1000-9999人 ,北京,北京
1625,高级市场分析师-人工智能和大数据方向,1.5万-2万,北京,3-5年,本科,"['行业研究', '市场研究']",IDC Consulting (Beijing) Ltd.,外商独资 ,100-299人 ,北京,北京
1626,经营分析岗,1万-1.5万,北京-大兴区,1-3年,硕士,"['数据分析', '标准化', '需求分析']",北京新航城开发建设有限公司,国企 ,100-299人 ,北京,北京
1627,大数据开发工程师（Python开发）,2万-2.5万,北京-海淀区,3-5年,本科,"['大数据开发', 'Python']",北京恒信志远科技有限公司,民营 ,20-99人 ,北京,北京
1628,新能源信息化数据分析专员-JNY3,6千-8千,北京-海淀区,1-3年,大专,['office'],同方股份有限公司,上市公司 ,10000人以上 ,北京,北京
1629,个人预警岗,1.5万-3万,北京-朝阳区,1-3年,本科,"['SQL', 'Python', '风险分析', '银行数据分析', '贷款数据分析']",北京福睿思特国际人力资源有限公司,民营 ,20-99人 ,北京,北京
1630,高级数据分析师（用户增长）,2万-3.5万,北京-朝阳区,5-10年,本科,"['SQL', 'Python', 'SAS', '因子分析', 'ROC分析', '方差分析', '参数检验']",雍禾植发,上市公司 ,1000-9999人 ,北京,北京
1631,生物统计师I,9千-1.4万,北京,不限,硕士,"['SAS', '英语', '流行病学', '生物统计学', '医学']",北京康特瑞科统计科技有限责任公司,民营 ,100-299人 ,北京,北京
1632,资料分析员,1.1万-1.5万,北京-海淀区,不限,大专,"['数据分析', 'SPSS', 'R', 'Excel', '描述统计']",北京壹问通信息科技有限公司,民营 ,100-299人 ,北京,北京
1633,商务数据分析,7千-9千,北京-昌平区,不限,本科,"['制造业', '诊断试剂', '数据分析', '制药/医疗']",普迈德(北京)科技有限公司,民营 ,300-499人 ,北京,北京
1634,数据分析师,8千-1.2万,北京-朝阳区,不限,本科,['大数据运维'],安徽蓝盾光电子股份有限公司,民营 ,1000-9999人 ,北京,北京
1635,数据分析师,1.1万-1.5万,北京-朝阳区,3-5年,本科,"['Python', '相关分析']",京北方,民营 ,10000人以上 ,北京,北京
1636,数据开发工程师,8千-1.5万,北京-海淀区,1-3年,本科,"['数据分析', 'SQL', 'SQL Server', '数据库', 'C#']",北京益生康健商贸有限公司,上市公司 ,500-999人 ,北京,北京
1637,项目实施-数据分析及政策研究,1万-1.7万,北京-东城区,不限,本科,"['数据分析', '政策研究']",中国网络安全审查技术与认证中心,事业单位 ,20-99人 ,北京,北京
1638,数据分析师,1.8万-3万,北京-海淀区,5-10年,本科,"['数据分析', '大数据分析', '数据建模', '需求分析', 'R语言', 'Python', 'MATLAB', 'Scala']",北京华力方元科技有限公司,民营 ,20-99人 ,北京,北京
1639,数据治理工程师,1.5万-2.5万,北京-西城区,3-5年,本科,['Excel'],北京鸿普惠信息技术有限公司,民营 ,20-99人 ,北京,北京
1640,数据分析师,6千-8千,北京-东城区,1-3年,本科,"['数据挖掘', '需求分析']",中创碳投,民营 ,100-299人 ,北京,北京
1641,市场分析师,7千-1万,北京-朝阳区,不限,本科,"['市场营销', '数据统计分析', '市场调研', '研究咨询']",铂睿德佳,民营 ,20-99人 ,北京,北京
1642,中级数据处理分析工程师,1.2万-2.4万,北京-海淀区,1-3年,本科,"['数据分析', 'Oracle', 'MySQL', 'SQL', '财务数据分析', '金融数据分析']",北京大数元科技发展有限公司,民营 ,500-999人 ,北京,北京
1643,医学数据分析,1.5万-2.5万,北京-海淀区,不限,硕士,"['临床数据分析', 'CRO', '临床前研究', '医药科研']",依未科技(北京)有限公司,民营 ,20-99人 ,北京,北京
1644,临床数据高级协调员/DM,1万-1.8万,北京-东城区,1-3年,本科,['临床试验'],康诺亚生物,合资 ,100-299人 ,北京,北京
1645,大数据开发工程师,1.8万-2.5万,北京,不限,本科,"['大数据开发', '数据采集', '数据清洗', '数据建模', '数据治理']",北京安信创业信息科技发展有限公司,国企 ,100-299人 ,北京,北京
1646,数据治理专家,4万-8万,北京-东城区,5-10年,本科,"['Hadoop', 'Spark', 'Kafka', 'Flink', '数据治理', '数据分析', '机器学习', '数据处理']",北京睿和良木管理咨询有限公司,民营 ,500-999人 ,北京,北京
1647,金融业务分析师,1万-1.5万,北京-海淀区,无经验,本科,['银行数据分析'],北京中软融鑫计算机系统工程有限公司,股份制企业 ,500-999人 ,北京,北京
1648,Planner,1.3万-1.4万,北京-海淀区,不限,本科,['供应链'],联想教育科技(北京)有限公司,民营 ,100-299人 ,北京,北京
1649,安全运维工程师（日志分析+数据分析）,8千-1万,北京-海淀区,不限,大专,"['安全', '数据分析', '网络', '日志分析', '安全运维']",天融信,民营 ,1000-9999人 ,北京,北京
1650,病毒分析工程师,1.2万-2万,北京-海淀区,不限,大专,['病毒分析'],辰信领创,股份制企业 ,20-99人 ,北京,北京
1651,资深建模分析师 (MJ000606),2.5万-3.5万,北京-朝阳区,不限,硕士,"['Python', 'SQL', 'R语言']",百融云创,股份制企业 ,500-999人 ,北京,北京
1652,经济数据分析,1.1万-1.5万,北京-丰台区,不限,大专,"['SPSS', '大数据分析', 'R', 'Excel']",北京鼎盛福祥科技有限公司,民营 ,20-99人 ,北京,北京
1653,大数据工程师（学信网可查-顺义-双休-线上面试）,1.1万-2.2万,北京-顺义区,3-5年,大专,"['大数据开发', 'SQL', 'Flink', 'Java']",北京汉克时代科技有限公司,民营 ,1000-9999人 ,北京,北京
1654,数据分析师,2.4万-3.5万,北京-朝阳区,3-5年,本科,"['数据分析', 'SQL', 'Python', '机器学习', '数据建模']",北京安德信业信息咨询有限责任公司,民营 ,100-299人 ,北京,北京
1655,数据管理师,1.2万-1.5万,北京-西城区,1-3年,本科,['财务分析'],山东智和创信息技术有限公司,股份制企业 ,100-299人 ,北京,北京
1656,排期专员,6千-8千,北京,1-3年,本科,['excel'],中视购物,合资 ,500-999人 ,北京,北京
1657,数据管理专员/DM Specialist,1.2万-1.5万,北京,1-3年,本科,['临床数据管理'],北京心联乔治心脏健康研究所,社会团体 ,20-99人 ,北京,北京
1658,临床数据管理员,8千-1.6万,北京,1-3年,本科,"['CRF', 'CRO', '临床数据分析']",北京阳光诺和药物研究股份有限公司,民营 ,300-499人 ,北京,北京
1659,大数据开发工程师,1.5万-1.7万,北京-通州区,3-5年,大专,"['SQL', 'Flink']",普维多(北京)科技服务有限公司,民营 ,20-99人 ,北京,北京
1660,大数据工程师,1.3万-1.6万,北京-丰台区,3-5年,本科,"['ETL', '数据库', 'MySQL', 'Oracle', '数仓开发', '数据清洗', '数据采集', 'Kettle']",北京普元智慧数据技术有限公司,民营 ,1000-9999人 ,北京,北京
1661,风控数据分析师(J10123),1.5万-2.3万,北京-朝阳区,不限,本科,"['数据分析', 'SQL', 'Python', 'Java', 'Shell']",蔷薇大树科技有限公司,民营 ,100-299人 ,北京,北京
1662,数据分析师（资深、高级、专家）,2万-4万,北京-朝阳区,3-5年,硕士,"['决策树', 'Python', 'SQL', '回归分析', 'SAS', 'R']",北京中锐国际咨询有限公司,民营 ,20-99人 ,北京,北京
1663,高级医疗数据分析师,1万-2万,北京,3-5年,大专,"['图像处理', '人工智能', '数据分析', '人身险']",众保健康科技服务(济南)有限公司,股份制企业 ,500-999人 ,北京,北京
1664,实时飞机数据应用开发工程师,1万-1.8万,北京-朝阳区,1-3年,本科,"['Python', 'R语言', 'Kettle', 'Powercenter', 'ODI']",航科院(北京)科技发展有限公司,其它 ,100-299人 ,北京,北京
1665,BI工程师(数据分析师),1.8万-2.5万,北京-西城区,3-5年,大专,"['Python', 'SAP', '帆软']",北京鄂尔多斯国际传媒广告有限公司,其它 ,,北京,北京
1666,数据工程师,6千-8千,北京-昌平区,1-3年,大专,"['arcgis', '数据采集', '遥感']",北京星天地信息科技有限公司,股份制企业 ,100-299人 ,北京,北京
1667,医疗大数据开发工程师,1.4万-1.6万,北京-西城区,3-5年,本科,['SQL'],好医生集团,外商独资 ,500-999人 ,北京,北京
1668,网络流量分析工程师,1.2万-2万,北京-朝阳区,1-3年,本科,"['Python', 'Linux', 'TCP/IP协议', '网络流量', 'HDFS', 'Flume', 'ETL']",北京信联科汇科技有限公司,民营 ,100-299人 ,北京,北京
1669,游戏日志分析专员,4千-6千,北京,不限,大专,['游戏客服'],北京互联经纬科技开发有限公司,民营 ,20-99人 ,北京,北京
1670,金融数据分析,1万-1.5万,北京-东城区,不限,大专,['理财数据分析'],北京颐和润雨投资管理有限公司,股份制企业 ,20-99人 ,北京,北京
1671,数据分析专员,1万-1.5万,北京-东城区,不限,大专,['投融资数据分析'],北京颐和润雨投资管理有限公司,股份制企业 ,20-99人 ,北京,北京
1672,项目研究员（ZY-3321）,7千-8千,北京-东城区,1-3年,本科,"['数据分析', 'PPT', 'Excel']",麦克利兰(北京)信息技术有限公司,民营 ,20-99人 ,北京,北京
1673,集团数据中心总监（职位编号：LZHR190）,2万-3万,北京-大兴区,5-10年,本科,"['数据采集', '商业分析', '数据建模', '数据挖掘']",朗致集团,民营 ,10000人以上 ,北京,北京
1674,Data Analysis(Java&Python),1.5万-2万,北京-朝阳区,3-5年,本科,"['Python', '数据分析', '爬虫', 'MySQL']",瞬联讯通科技(北京)有限公司,外商独资 ,1000-9999人 ,北京,北京
1675,临床数据统计师(J13162),1.5万-2万,北京-海淀区,不限,硕士,"['SAS', '生物统计学']",扬子江药业集团,民营 ,10000人以上 ,北京,北京
1676,数据分析工程师-数据业务（北京）,1.5万-2万,北京,不限,本科,"['大数据', '数据挖掘', '车联网', '机器学习']",经纬恒润,民营 ,1000-9999人 ,北京,北京
1677,大数据分析师,8千-1.1万,北京-西城区,1年以下,大专,"['数据分析', '大数据分析', 'Tableau', 'SPSS', 'SQL', 'R语言']",北京壹问通信息科技有限公司,民营 ,100-299人 ,北京,北京
